"","X","fullname","Category","Country","League","Position","Rating","Club","DIV","REF","GKP","HAN","POS"
"15781",17249,"Jannik Huth","Basic","Germany","Bundesliga","GK",62,"1. FSV Mainz 05","64","69","56","62","56"
"15888",17357,"James Shea","Basic","England","EFL League One","GK",61,"AFC Wimbledon","65","67","57","61","57"
"15919",17388,"Ögmundur Kristinsson","Basic","Iceland","Allsvenskan","GK",61,"Hammarby IF","57","71","57","66","57"
"15926",17395,"Ben Garratt","Basic","England","EFL League Two","GK",61,"Crewe Alexandra","64","68","62","60","62"
"15932",17401,"Nelson Espinoza","Basic","Chile","Campeonato Scotiabank","GK",61,"Universidad de Chile","61","64","62","59","62"
"15933",17402,"Gabriele Aldegani","Basic","Italy","Calcio A","GK",61,"Pescara","66","59","60","61","60"
"15941",17410,"Steve Mildenhall","Basic","England","EFL League One","GK",61,"Bristol Rovers","59","63","64","60","64"
"15956",17425,"Agustín Bossio","Basic","Argentina","Primera División","GK",61,"Patronato","62","65","63","55","63"
"15960",17429,"Régis Gurtner","Basic","France","Domino’s Ligue 2","GK",61,"Amiens SC","63","59","62","64","62"
"15967",17436,"Hendrik Bonmann","Basic","Germany","Bundesliga","GK",61,"Borussia Dortmund","63","62","65","55","65"
"15968",17437,"Brian Jensen","Basic","Denmark","EFL League Two","GK",61,"Mansfield Town","63","62","60","61","60"
"16006",17475,"Brendan Clarke","Basic","Republic of Ireland","SSE Airtricity League","GK",61,"St. Patrick's Athletic","62","64","61","60","61"
"16007",17476,"Brendan Clarke","Basic","Republic of Ireland","SSE Airtricity League","GK",61,"St. Patrick's Athletic","62","64","61","60","61"
"16031",17501,"Tomer Chencinski","Basic","Canada","Allsvenskan","GK",61,"Helsingborgs IF","60","57","68","63","68"
"16032",17502,"Barry Murphy","Basic","Republic of Ireland","SSE Airtricity League","GK",61,"Shamrock Rovers","63","66","59","59","59"
"16046",17516,"Eray Iscan","Basic","Turkey","Süper Lig","GK",61,"Galatasaray SK","66","62","55","63","55"
"16047",17517,"Eray Iscan","Basic","Turkey","Süper Lig","GK",61,"Galatasaray SK","66","62","55","63","55"
"16051",17521,"Francesco Ruberto","Basic","Switzerland","Raiffeisen Super League","GK",61,"FC Thun","63","63","58","64","58"
"16052",17522,"Mark McNulty","Basic","Republic of Ireland","SSE Airtricity League","GK",61,"Cork City","65","61","62","60","62"
"16056",17526,"Marcel Herzog","Basic","Switzerland","Raiffeisen Super League","GK",61,"FC St. Gallen","66","60","63","55","63"
"16057",17527,"Paul Jones","Basic","England","EFL Championship","GK",61,"Norwich City","69","67","54","60","54"
"16074",17544,"Damían Albil","Basic","Argentina","Primera División","GK",61,"Independiente","58","59","66","60","66"
"16077",17547,"Kim Christensen","Basic","Denmark","Alka Superliga","GK",61,"FC København","64","59","62","64","62"
"16083",17553,"Krzysztof Pilarz","Basic","Poland","T-Mobile Ekstraklasa","GK",61,"Bruk-Bet Termalica Nieciecza","61","64","64","59","64"
"16100",17570,"Stephen Bywater","Basic","England","EFL Championship","GK",61,"Burton Albion","64","54","65","59","65"
"16115",17585,"Joseph Biersard","Basic","Belgium","Belgium Pro League","GK",61,"KAS Eupen","62","60","63","62","63"
"16136",17606,"Kyle Reynish","Basic","United States","Major League Soccer","GK",61,"New York Red Bulls","62","58","64","65","64"
"16181",17651,"Jean Butez","Basic","France","Ligue 1","GK",61,"LOSC Lille","63","62","64","59","64"
"16232",17702,"Timo Plattel","Basic","Netherlands","Eredivisie","GK",61,"FC Twente","64","62","62","62","62"
"16235",17705,"Dawid Kudla","Basic","Poland","T-Mobile Ekstraklasa","GK",61,"Pogon Szczecin","61","64","63","53","63"
"16237",17707,"Ramiro Sánchez","Basic","Colombia","Liga Dimayor","GK",61,"Millonarios FC","63","64","60","60","60"
"16238",17708,"Kevin Piedrahita","Basic","United States","Liga Dimayor","GK",61,"Rionegro Águilas","63","64","61","61","61"
"16239",17709,"Park Hyung Soon","Basic","Korea Republic","K LEAGUE Classic","GK",61,"Suwon FC","61","63","58","64","58"
"16242",17712,"José Devecchi","Basic","Argentina","Primera División","GK",61,"San Lorenzo de Almagro","63","60","63","60","63"
"16273",17743,"Andrés Mosquera","Basic","Colombia","Liga Dimayor","GK",61,"Atlético Bucaramanga","67","65","59","58","59"
"16275",17745,"Gary Rogers","Basic","Republic of Ireland","SSE Airtricity League","GK",61,"Dundalk","61","66","60","60","60"
"16290",17760,"Casper Ankergren","Basic","Denmark","EFL Championship","GK",61,"Brighton & Hove Albion","64","61","64","55","64"
"16294",17764,"Mike Havekotte","Basic","Netherlands","Eredivisie","GK",61,"Excelsior","64","65","60","62","60"
"16303",17773,"Ben Kennedy","Basic","Australia","Hyundai A-League","GK",61,"Newcastle Jets","64","63","62","58","62"
"16328",17799,"Brayan Cortés","Basic","Chile","Campeonato Scotiabank","GK",61,"Deportes Iquique","62","63","58","59","58"
"16362",17833,"Stefan van der Lei","Basic","Netherlands","Eredivisie","GK",61,"FC Groningen","64","68","55","58","55"
"16370",17841,"Justin Bijlow","Basic","Netherlands","Eredivisie","GK",61,"Feyenoord","67","64","60","61","60"
"16371",17842,"Dariusz Trela","Basic","Poland","T-Mobile Ekstraklasa","GK",61,"Bruk-Bet Termalica Nieciecza","64","67","62","53","62"
"16372",17843,"Chris Maxwell","Basic","Wales","EFL Championship","GK",61,"Preston North End","64","61","65","62","65"
"16373",17844,"Jérémy Vachoux","Basic","France","Domino’s Ligue 2","GK",61,"Racing Club de Lens","68","63","61","59","61"
"16385",17857,"Yang Hyung Mo","Basic","Korea Republic","K LEAGUE Classic","GK",61,"Suwon Samsung Bluewings","66","69","58","54","58"
"16391",17863,"Marco Festa","Basic","Italy","Calcio A","GK",61,"Crotone","65","61","59","62","59"
"16395",17867,"Emanuel Novo","Basic","Portugal","Liga NOS","GK",61,"Chaves","62","67","59","62","59"
"16400",17872,"Andrea Zaccagno","Basic","Italy","Calcio B","GK",61,"Vercelli","65","70","65","62","65"
"16401",17873,"Alberto Paleari","Basic","Italy","Calcio B","GK",61,"Cittadella","58","69","65","57","65"
"16407",17879,"Andreas Vaikla","Basic","Estonia","Allsvenskan","GK",61,"IFK Norrköping","64","61","54","72","54"
"16433",17906,"Jean Chopin","Basic","France","Belgium Pro League","GK",61,"KV Oostende","64","64","55","64","55"
"16439",17912,"Aly Keita","Basic","Sweden","Allsvenskan","GK",61,"Östersunds FK","74","65","55","53","55"
"16476",17949,"Manuel Kuttin","Basic","Austria","Österreichische Fußball-Bundesliga","GK",61,"FC Admira Wacker Mödling","64","64","62","58","62"
"16477",17950,"Pål Vestly Heigre","Basic","Norway","Tippeligaen","GK",61,"Viking FK","63","64","60","61","60"
"16488",17961,"Pol","Basic","Spain","LaLiga 1 I 2 I 3","GK",61,"Elche CF","59","57","55","71","55"
"16490",17963,"Özkan Karabulut","Basic","Turkey","Süper Lig","GK",61,"Gençlerbirligi SK","64","65","58","57","58"
"16499",17972,"Cody Cropper","Basic","United States","Major League Soccer","GK",61,"New England Revolution","64","64","61","60","61"
"16521",17994,"Hani Al Nahidh","Basic","Saudi Arabia","Dawry Jameel","GK",61,"Al Ittihad","64","59","61","58","61"
"16528",18001,"Stefan Milosavljevic","Basic","France","Domino’s Ligue 2","GK",61,"Havre Athletic Club","61","62","64","61","64"
"16541",18014,"Daniel Bachmann","Basic","Austria","Premier League","GK",61,"Stoke City","60","65","60","58","60"
"16542",18015,"Jack Hamilton","Basic","Scotland","Scottish Premiership","GK",61,"Heart of Midlothian","64","60","65","60","65"
"16579",18052,"Carsten Christensen","Basic","Denmark","Alka Superliga","GK",61,"Aalborg BK","62","58","65","61","65"
"16580",18053,"Andreas Andersson","Basic","Sweden","Allsvenskan","GK",61,"Gefle IF","60","60","62","65","62"
"16588",18061,"Kelle Roos","Basic","Netherlands","EFL League One","GK",61,"Bristol Rovers","66","61","62","58","62"
"16589",18062,"Kelle Roos","Basic","Netherlands","EFL Championship","GK",61,"Derby County","66","61","62","58","62"
"16591",18064,"Andrew Redmayne","Basic","Australia","Hyundai A-League","GK",61,"Western Sydney Wanderers","63","65","62","58","62"
"16597",18070,"Jules Goda","Basic","Cameroon","Domino’s Ligue 2","GK",61,"Athlétic Club Ajaccio","59","60","64","65","64"
"16608",18081,"Erwin Zelazny","Basic","France","Domino’s Ligue 2","GK",61,"ESTAC Troyes","65","69","64","53","64"
"16609",18082,"Michal Peškovic","Basic","Slovakia","T-Mobile Ekstraklasa","GK",61,"Korona Kielce","57","62","60","64","60"
"16622",18095,"Lars Cramer","Basic","Norway","Tippeligaen","GK",61,"Aalesunds FK","62","69","55","57","55"
"16638",18111,"Anssi Jaakkola","Basic","Finland","EFL Championship","GK",61,"Reading","64","62","61","60","61"
"16658",18131,"Craig Samson","Basic","Scotland","Scottish Premiership","GK",61,"Motherwell","58","63","61","62","61"
"16662",18135,"Luke Daniels","Basic","England","EFL League One","GK",61,"Scunthorpe United","67","68","57","55","57"
"16687",18160,"Mark Oxley","Basic","England","EFL League One","GK",61,"Southend United","64","65","59","62","59"
"16695",18168,"Haraldur Björnsson","Basic","Iceland","Tippeligaen","GK",60,"Lillestrøm SK","53","55","65","70","65"
"16696",18169,"Thomas Vincensini","Basic","France","Ligue 1","GK",60,"Sporting Club de Bastia","61","67","60","56","60"
"16697",18170,"Zbigniew Malkowski","Basic","Poland","T-Mobile Ekstraklasa","GK",60,"Korona Kielce","58","55","67","58","67"
"16698",18171,"Horacio Ramírez","Basic","Argentina","Primera División","GK",60,"Quilmes Atlético Club","56","63","66","59","66"
"16699",18172,"Thomas Dähne","Basic","Germany","Rest of World","GK",60,"HJK Helsinki","63","65","61","56","61"
"16700",18173,"Franck Grandel","Basic","France","Domino’s Ligue 2","GK",60,"ESTAC Troyes","69","65","54","53","54"
"16709",18182,"Zdenek Zlámal","Basic","Czech Republic","Süper Lig","GK",60,"Alanyaspor","64","58","66","60","66"
"16760",18233,"Aarón","Basic","Spain","LaLiga Santander","GK",60,"Málaga CF","58","63","59","64","59"
"16762",18235,"David Raya","Basic","Spain","EFL Championship","GK",60,"Blackburn Rovers","61","62","57","59","57"
"16764",18237,"Ryan Fulton","Basic","Scotland","EFL League One","GK",60,"Chesterfield","60","65","62","59","62"
"16767",18240,"Jose Johan Silva","Basic","Colombia","Liga Dimayor","GK",60,"La Equidad","54","58","62","67","62"
"16784",18257,"Chris Weale","Basic","England","EFL Championship","GK",60,"Derby County","68","59","57","58","57"
"16787",18260,"Marco van Duin","Basic","Netherlands","Eredivisie","GK",60,"N.E.C.","57","60","63","63","63"
"16788",18261,"Paul Rachubka","Basic","United States","EFL League One","GK",60,"Bury","58","62","62","60","62"
"16790",18263,"Landry Bonnefoi","Basic","France","Domino’s Ligue 2","GK",60,"RC Strasbourg Alsace","59","62","64","60","64"
"16791",18264,"Glenn Morris","Basic","England","EFL League Two","GK",60,"Crawley Town","66","64","55","56","55"
"16792",18265,"Scott Shearer","Basic","Scotland","EFL League Two","GK",60,"Mansfield Town","60","60","62","58","62"
"16818",18291,"Timo Königsmann","Basic","Germany","Bundesliga 2","GK",60,"Hannover 96","59","70","51","63","51"
"16819",18292,"Alexander Nübel","Basic","Germany","Bundesliga","GK",60,"FC Schalke 04","61","64","58","56","58"
"16822",18295,"Freddie Woodman","Basic","England","EFL Championship","GK",60,"Newcastle United","61","60","60","58","60"
"16832",18305,"José Chunga","Basic","Colombia","Liga Dimayor","GK",60,"Junior FC","64","62","56","60","56"
"16843",18316,"Otto Martler","Basic","Sweden","Allsvenskan","GK",60,"Falkenbergs FF","63","59","58","62","58"
"16856",18329,"David Gómez","Basic","Spain","LaLiga 1 I 2 I 3","GK",60,"Elche CF","70","65","52","55","52"
"16889",18362,"Kim Gyeong Min","Basic","Korea Republic","K LEAGUE Classic","GK",60,"Jeju United FC","59","64","54","57","54"
"16896",18369,"Rody de Boer","Basic","Netherlands","Eredivisie","GK",60,"ADO Den Haag","65","65","55","58","55"
"16910",18383,"Lee In Soo","Basic","Korea Republic","K LEAGUE Classic","GK",60,"Suwon FC","63","60","56","61","56"
"16925",18398,"Sergio Pérez","Basic","Spain","LaLiga 1 I 2 I 3","GK",60,"CD Mirandés","64","63","57","58","57"
"16930",18403,"Daniel Mesenhöler","Basic","Germany","Bundesliga 2","GK",60,"1. FC Union Berlin","64","62","55","59","55"
"16959",18432,"Michal Buchalik","Basic","Poland","T-Mobile Ekstraklasa","GK",60,"Wisla Kraków","60","58","64","56","64"
"16980",18453,"Lee Ho Seung","Basic","Korea Republic","K LEAGUE Classic","GK",60,"Jeonnam Dragons","62","63","56","63","56"
"16990",18463,"Babacar Niasse","Basic","Senegal","Belgium Pro League","GK",60,"KAS Eupen","67","64","53","59","53"
"17000",18473,"Aarón Fernández","Basic","Mexico","LIGA Bancomer MX","GK",60,"Tigres U.A.N.L.","61","58","61","60","61"
"17003",18476,"Michael Verrips","Basic","Netherlands","Eredivisie","GK",60,"Sparta Rotterdam","65","62","59","64","59"
"17008",18481,"Kevin Fickentscher","Basic","Switzerland","Raiffeisen Super League","GK",60,"FC Sion","57","69","59","56","59"
"17028",18501,"Maik Ebersbach","Basic","Germany","Bundesliga 2","GK",60,"FC Erzgebirge Aue","63","58","59","62","59"
"17033",18506,"Dejan Stojanovic","Basic","FYR Macedonia","Raiffeisen Super League","GK",60,"FC St. Gallen","65","68","56","57","56"
"17038",18511,"Oliver Schnitzler","Basic","Germany","Bundesliga 2","GK",60,"1. FC Heidenheim 1846","58","62","60","62","60"
"17054",18527,"Edvinas Gertmonas","Basic","Lithuania","Ligue 1","GK",60,"Stade Rennais FC","65","70","55","55","55"
"17073",18548,"Dobrivoj Rusov","Basic","Slovakia","T-Mobile Ekstraklasa","GK",60,"Piast Gliwice","55","58","64","63","64"
"17076",18551,"Irfan Can Egribayat","Basic","Turkey","Süper Lig","GK",60,"Adanaspor","66","64","58","54","58"
"17089",18564,"Stefano Gori","Basic","Italy","Calcio B","GK",60,"Bari","64","64","55","60","55"
"17111",18586,"Earl Edwards Jr.","Basic","United States","Major League Soccer","GK",60,"Orlando City Soccer Club","58","57","65","64","65"
"17126",18601,"Dominik Brunnhübner","Basic","Germany","Bundesliga 2","GK",60,"FC Würzburger Kickers","60","68","57","63","57"
"17128",18603,"Liam Reddy","Basic","Australia","Hyundai A-League","GK",60,"Perth Glory","62","60","61","59","61"
"17131",18606,"Jake Kean","Basic","England","EFL Championship","GK",60,"Sheffield Wednesday","61","60","64","55","64"
"17146",18621,"Benjamin Büchel","Basic","Liechtenstein","EFL League One","GK",60,"Oxford United","60","63","62","59","62"
"17156",18631,"Fahad Al Shammari","Basic","Saudi Arabia","Dawry Jameel","GK",60,"Al Taawoun","63","64","58","57","58"
"17158",18633,"Valentin Belon","Basic","France","Domino’s Ligue 2","GK",60,"Racing Club de Lens","64","61","57","61","57"
"17182",18657,"Boris Radunovic","Basic","Serbia","Calcio B","GK",60,"Avellino","64","62","57","60","57"
"17187",18662,"Artur Krysiak","Basic","Poland","EFL League Two","GK",60,"Yeovil Town","64","63","57","57","57"
"17218",18693,"Joe Day","Basic","England","EFL League Two","GK",60,"Newport County","64","70","60","52","60"
"17219",18694,"Andrea Tozzo","Basic","Italy","Calcio A","GK",60,"Sampdoria","64","61","60","59","60"
"17220",18695,"Bryan Meredith","Basic","United States","Major League Soccer","GK",60,"San Jose Earthquakes","65","64","54","60","54"
"17230",18705,"Alex Cairns","Basic","England","EFL League One","GK",60,"Fleetwood Town","59","60","58","60","58"
"17233",18708,"Kim Da Sol","Basic","Korea Republic","K LEAGUE Classic","GK",60,"Incheon United FC","59","64","55","63","55"
"17238",18713,"Andreas Linde","Basic","Sweden","Tippeligaen","GK",60,"Molde FK","64","61","58","62","58"
"17245",18720,"Aaron McCarey","Basic","Republic of Ireland","Scottish Premiership","GK",60,"Ross County FC","64","62","59","58","59"
"17265",18740,"Jáiber Cardona","Basic","Colombia","Liga Dimayor","GK",60,"Corporación Club Deportivo Tuluá","64","60","61","56","61"
"17279",18754,"Rui Vieira","Basic","Portugal","Liga NOS","GK",60,"Rio Ave FC","63","63","56","58","56"
"17288",18764,"Reice Charles-Cook","Basic","England","EFL League One","GK",60,"Coventry City","67","63","51","59","51"
"17295",18771,"Andreas Leitner","Basic","Austria","Österreichische Fußball-Bundesliga","GK",60,"FC Admira Wacker Mödling","59","69","59","55","59"
"17300",18776,"Jerrad Tyson","Basic","Australia","Hyundai A-League","GK",60,"Western Sydney Wanderers","62","64","59","58","59"
"17302",18778,"Hampus Nilsson","Basic","Sweden","Allsvenskan","GK",60,"Östersunds FK","61","60","59","66","59"
"17350",18826,"Jamie Stephens","Basic","England","EFL League Two","GK",60,"Barnet","62","63","59","61","59"
"17355",18831,"Louis Bostyn","Basic","Belgium","Belgium Pro League","GK",60,"SV Zulte-Waregem","62","61","55","64","55"
"17367",18843,"Alex Horwath","Basic","United States","Tippeligaen","GK",60,"SK Brann","60","64","63","57","63"
"17398",18874,"Yuriy Shafinskiy","Basic","Russia","Sogaz Russian Football Championship","GK",60,"FC Anzhi Makhachkala","67","69","57","51","57"
"17421",18897,"Mark Gillespie","Basic","England","EFL League Two","GK",60,"Carlisle United","64","60","56","61","56"
"17422",18898,"Mark Gillespie","Basic","England","EFL League Two","GK",60,"Carlisle United","64","60","56","61","56"
"17466",18944,"Mark Halstead","Basic","England","EFL League One","GK",60,"Shrewsbury","61","61","59","62","59"
"17523",19001,"Maxime Crépeau","Basic","Canada","Major League Soccer","GK",59,"Montreal Impact","64","64","57","53","57"
"17525",19003,"Kadem Yasar","Basic","Turkey","Süper Lig","GK",59,"Kasimpasa SK","61","60","58","59","58"
